Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
Malaysia,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,-,-,-,-,-
Malaysia,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,56.6,11.3,4.5,-,-
Malaysia,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,5.8,-,-,-,-
Malaysia,Mobile Phones,Lumia (Microsoft Corp),Microsoft Corp,Retail Volume,000 units,8.7,-,-,-,-
Malaysia,Mobile Phones,Others,Others,Retail Volume,000 units,176.5,60.4,40.9,62,48.9
Malaysia,Mobile Phones,Total,Total,Retail Volume,000 units,11572.7,11488,12564.3,10745.7,9803.8
Malaysia,Retail,Others,Others,Retail Value RSP excl Sales Tax,MYR million,174289.8,149995.4,154040.6,171838.1,167884
Malaysia,Retail,Total,Total,Retail Value RSP excl Sales Tax,MYR million,241026.1,216833.8,229887.3,257228.8,255055.9
Malaysia,Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,MYR million,164777.6,140779.3,144607.7,162797.1,159541.5
Malaysia,Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,MYR million,224185.2,193965.9,201303.8,227137.4,225856.5
Malaysia,Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,MYR million,101268.3,80885.7,89280.7,104331,100143.1
Malaysia,Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,MYR million,132285.9,106632.5,119027.1,140032.3,136658.6
Malaysia,Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,MYR million,31705.7,32318.8,36822.8,41241.5,36987.7
Malaysia,Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,MYR million,34451.4,34776.9,39414.2,44175.2,39554
Malaysia,Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,MYR million,8155.6,7950.1,8080.3,7393,6701
Malaysia,Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,MYR million,16840.9,22867.9,28583.5,30091.4,29199.3
